TEAM,MATCH_UP,GAME_DATE,W_L,MIN,PTS,FGM,FGA,FGp,PM_3,PA_3,Pp_3,FTM,FTA,FTp,OREB,DREB,REB,AST,TOV,STL,BLK,PF,plus_minus
PHO,PHO vs. CHI,8/14/22,L,40,67,27,59,45.8,3,13,23.1,10,12,83.3,2,33,35,17,21,4,1,13,-15
IND,IND @ WAS,8/14/22,L,40,83,29,51,56.9,8,13,61.5,17,20,85,2,23,25,16,22,5,3,24,-12
CHI,CHI @ PHO,8/14/22,W,40,82,32,71,45.1,11,27,40.7,7,7,100,5,21,26,26,12,8,5,14,15
ATL,ATL @ NYL,8/14/22,L,40,83,27,74,36.5,10,31,32.3,19,22,86.4,13,25,38,20,11,9,1,20,-4
LVA,LVA vs. SEA,8/14/22,W,40,109,39,70,55.7,11,27,40.7,20,24,83.3,5,28,33,26,11,11,3,11,9
WAS,WAS vs. IND,8/14/22,W,40,95,29,60,48.3,7,21,33.3,30,35,85.7,7,17,24,21,12,14,3,16,12
SEA,SEA @ LVA,8/14/22,L,40,100,38,82,46.3,18,40,45,6,7,85.7,13,27,40,22,18,4,1,20,-9
DAL,DAL @ LAS,8/14/22,W,40,116,42,64,65.6,11,22,50,21,27,77.8,7,25,32,33,14,3,3,19,28
NYL,NYL vs. ATL,8/14/22,W,40,87,27,60,45,15,32,46.9,18,22,81.8,4,30,34,23,16,3,4,18,4
LAS,LAS vs. DAL,8/14/22,L,40,88,31,70,44.3,8,24,33.3,18,22,81.8,9,14,23,17,9,8,4,23,-28
MIN,MIN @ CON,8/14/22,L,40,83,32,70,45.7,11,31,35.5,8,10,80,8,24,32,15,13,7,2,17,-7
CON,CON vs. MIN,8/14/22,W,40,90,36,68,52.9,5,14,35.7,13,20,65,8,28,36,24,11,7,4,13,7
WAS,WAS @ IND,8/12/22,W,40,82,31,68,45.6,4,19,21.1,16,19,84.2,11,28,39,26,16,9,5,11,12
ATL,ATL vs. NYL,8/12/22,L,40,70,24,64,37.5,5,19,26.3,17,24,70.8,9,27,36,13,13,5,1,15,-10
